VENDOR,VENDOR_PRODUCT,VENDOR_SKU,CW_SKU,SKU_MATCH_KEY,MAPPING_NOTES,CONTRACT_COST_RATE,CW_RETAIL_RATE
Acronis,SRJAMSENS,SRJAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,SRJAMSENS,"WORKLOAD + ""Microsoft 365 seat (with unlimited storage)"" -> SRJAMSENS",1.1502,
Acronis,SQACMSENS,SQACMSENS,SQACMSENS,SQACMSENS,Zuora PRODUCT_SKU maps to vendor code SQACMSENS,28.4,
Acronis,SPIAMSENS,SPIAMSENS,BB-ACRONIS-WORKLOAD-BUNDLE,SPIAMSENS,"WORKLOAD + ""Cyber Files Cloud - User"" -> SPIAMSENS",0.6319,
Acronis,SEDAMSENS,SEDAMSENS,SEDAMSENS,SEDAMSENS,Zuora PRODUCT_SKU maps to vendor code SEDAMSENS,1.3775,
Acronis,SRBAMSENS,SRBAMSENS,TASRBAMSEN,SRBAMSENS,Zuora PRODUCT_SKU maps to vendor code SRBAMSENS,0.37,
Acronis,SRIAMSENS,SRIAMSENS,APP-BC-SRIAMSENS,SRIAMSENS,Zuora PRODUCT_SKU maps to vendor code SRIAMSENS,0.1725,
Acronis,SUVAMSENS,SUVAMSENS,M2M-APP-BC-SUVAMSENS,SUVAMSENS,Zuora PRODUCT_SKU maps to vendor code SUVAMSENS,0.0149,
Acronis,SPGAMSENS,SPGAMSENS,ACB-UKD-M00-TASPGAMSEN,SPGAMSENS,Zuora PRODUCT_SKU maps to vendor code SPGAMSENS,1.704,
Acronis,SRIAMSENS,SRIAMSENS,SRIAMSENS,SRIAMSENS,Zuora PRODUCT_SKU maps to vendor code SRIAMSENS,0.1725,
Acronis,SPIAMSENS,SPIAMSENS,TASPIAMSEN,SPIAMSENS,Zuora PRODUCT_SKU maps to vendor code SPIAMSENS,0.6319,
Acronis,SRHAMSENS,SRHAMSENS,ACB-UKD-M00-TASRHAMSEN,SRHAMSENS,Zuora PRODUCT_SKU maps to vendor code SRHAMSENS,0.7313,
Acronis,SP5AMSENS,SP5AMSENS,APP-SA-SP5AMSENS,SP5AMSENS,Zuora PRODUCT_SKU maps to vendor code SP5AMSENS,0.0113,
